*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_PIIO_v1_0
*Date=11:00:53
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;27.0702;-98.9203;0;Bottom;TXT1
111;;;107.893;-91.3013;0;Bottom;TXT1
112;;;26.3122;-45.299;-90;Bottom;TXT2
113;;THT;30.8604;-78.1983;-90;Bottom;UART227
114;;;19.9009;-9.83;0;Bottom;Copper Fill45
115;;;107.554;-35.2299;0;Bottom;Via336
116;;3 mm [THT];113.904;-64.0665;180;Bottom;LED_6
117;;;69.0547;-33.7837;0;Bottom;TXT2
118;;;7.3406;-21.387;0;Bottom;Copper Fill228
119;;;42.8761;-82.0522;0;Bottom;TXT1
120;;;73.5747;-52.135;0;Bottom;TXT1
121;;;110.347;-57.2564;90;Bottom;TXT1
122;;;61.4553;-58.217;0;Bottom;Copper Fill135
123;;;85.0392;-2.5783;0;Bottom;Copper Fill310
124;;;36.2585;-97.0536;0;Bottom;Copper Fill55
125;;;36.0553;-12.9796;0;Bottom;Copper Fill17
126;;;38.9742;-8.30374;-90;Bottom;TXT1
127;;;119.443;-48.2843;-90;Bottom;TXT2
128;;;31.9165;-45.6357;-90;Bottom;TXT2
129;;THT;85.3293;-8.8775;90;Bottom;S19
130;;;72.5805;-1.5496;0;Bottom;Copper Fill298
131;;;80.2005;-44.12;0;Bottom;Copper Fill9
132;560;THT;103.109;-50.47;-3.18056e-15;Bottom;560?
133;;THT;117.397;-48.2873;180;Bottom;UART266
134;;;87.5165;-73.5518;0;Top;blkr13
135;;;16.0909;-43.7898;0;Bottom;Copper Fill268
136;;THT;32.9418;-11.735;180;Bottom;UART304
137;560k;THT;70.2147;-68.2666;14.7365;Bottom;560k?
138;;;117.335;-35.8396;0;Bottom;Copper Fill292
139;;;54.7862;-88.9735;90;Bottom;TXT2
140;;;33.9724;-3.7032;-90;Bottom;TXT1
141;;3 mm [THT];113.904;-23.744;180;Bottom;BT_ON
142;;;46.2327;-42.6271;0;Bottom;TXT1
143;;;22.6568;-88.0112;0;Bottom;Copper Fill205
144;;;8.13647;-73.5877;0;Bottom;TXT1
145;;;72.0344;-5.3088;0;Bottom;Copper Fill234
146;;;114.623;-94.0322;0;Bottom;TXT1
147;;;117.335;-3.1244;0;Bottom;Copper Fill139
148;;;63.9791;-52.3467;0;Bottom;TXT1
149;;;106.147;-14.1226;0;Bottom;Copper Fill229
150;;;65.7746;-33.8563;180;Bottom;TXT1
151;;;111.389;-53.3116;-90;Bottom;TXT1
152;;;77.9018;-2.5783;0;Bottom;Copper Fill196
153;;;55.1053;-79.5784;0;Bottom;Copper Fill108
154;;;28.7909;-2.21;0;Bottom;Copper Fill177
155;;;49.2839;-45.7272;-90;Bottom;TXT2
156;;;43.7519;-11.6904;-90;Bottom;TXT1
157;;;94.8309;-24.1048;0;Bottom;Copper Fill152
158;;;107.554;-27.6099;0;Bottom;Via338
159;;;29.1338;-95.9995;0;Bottom;Copper Fill61
160;;;87.8205;-44.12;0;Bottom;Copper Fill6
161;;;85.5853;-97.587;0;Bottom;Copper Fill180
162;;;8.38887;-28.0098;0;Bottom;TXT1
163;;;89.975;-44.974;0;Top;blkr77
164;;;59.9948;-50.0128;0;Bottom;Copper Fill2
165;;;95.654;-87.1354;0;Bottom;TXT1
166;;;31.1776;-5.483;-90;Bottom;TXT1
167;;THT;30.8604;-75.7289;-90;Bottom;UART228
168;;;51.3568;-93.015;0;Bottom;Via267
169;;;81.0506;-62.3191;0;Bottom;TXT1
170;;;82.744;-49.896;0;Bottom;TXT1
171;;;19.8882;-3.0736;0;Bottom;Copper Fill237
172;;;98.1199;-48.7163;0;Top;blkr24
173;;;78.6978;-17.2759;0;Bottom;TXT1
174;;;8.42362;-68.4814;90;Bottom;TXT1
175;;;117.397;-96.19;0;Bottom;Via278
176;;;51.3967;-91.0315;0;Bottom;TXT1
177;;;119.443;-63.4845;-90;Bottom;TXT2
178;;;22.6568;-3.2387;0;Bottom;Copper Fill248
179;;DIP (Dual Inline) [THT];18.6543;-14.5925;-90;Bottom;MCP23021
180;;;70.1739;-8.85619;-90;Bottom;TXT2
181;;;30.1625;-97.0536;0;Bottom;Copper Fill59
182;;;1.47427;-52.4809;90;Bottom;TXT4
183;;;57.107;-29.6091;0;Bottom;TXT1
184;;;65.4177;-64.5416;0;Bottom;Copper Fill21
185;;;37.1181;-59.5335;-90;Bottom;TXT2
186;;;79.2555;-25.3831;0;Bottom;TXT1
187;;;100.75;-98.1809;0;Bottom;TXT1
188;;;57.7342;-38.7987;0;Bottom;Copper Fill121
189;;;29.1338;-95.9995;0;Bottom;Copper Fill256
190;10?F;100 mil [THT, tantalum];42.2941;-71.0469;-26.8926;Bottom;10uF
191;;;4.3053;-32.3344;0;Bottom;Copper Fill188
192;;;118.364;-21.9331;0;Bottom;Copper Fill132
193;;;29.7942;-3.2387;0;Bottom;Copper Fill178
194;;;38.0276;-32.2552;0;Bottom;TXT1
195;;;1.49916;-76.0716;0;Top;blkr3
196;;;80.2192;-19.9526;0;Top;blkr27
197;;;8.07107;-8.08961;0;Bottom;TXT2
198;;;58.3418;-40.945;0;Bottom;Via308
199;;;80.141;-31.7136;0;Bottom;TXT2
200;;THT;94.8543;-32.69;180;Bottom;UART301
201;;;59.5718;-81.7238;0;Bottom;TXT1
202;;;58.8876;-53.1513;90;Bottom;TXT2
203;;;94.8309;-24.1048;0;Bottom;Copper Fill297
204;;;51.3568;-89.5225;0;Bottom;Via268
205;;THT;70.2798;-97.0155;-90;Bottom;J138
206;;;97.8647;-45.7624;-90;Bottom;TXT2
207;10?F;100 mil [THT, tantalum];63.7393;-32.3725;0;Bottom;10uF
208;;;89.4517;-59.7026;0;Bottom;blkr76
209;;;16.8001;-59.9374;-90;Bottom;TXT2
210;;THT;13.5743;-26.0225;90;Bottom;J158
211;;;65.6844;-53.6831;0;Bottom;Copper Fill35
212;;;94.1206;-59.2046;0;Bottom;TXT1
213;100nF;200 mil [THT, multilayer];96.4418;-79.68;180;Bottom;100nF
214;;;73.9932;-8.8655;-90;Bottom;TXT2
215;;;97.5556;-6.76591;0;Bottom;blkr75
216;;;118.364;-36.8683;0;Bottom;Copper Fill131
217;;;16.0321;-84.7953;0;Bottom;TXT2
218;;THT;67.8668;-57.1375;-90;Bottom;UART282
219;;;6.70789;-73.6809;0;Bottom;TXT1
220;;;46.5942;-41.1767;0;Top;blkr48
221;;THT;81.5193;-2.5275;-90;Bottom;J185
222;;;86.9364;-21.4602;0;Bottom;TXT1
223;;;23.4783;-28.121;0;Bottom;TXT1
224;;;116.001;-84.0544;0;Bottom;blkr59
225;;;108.493;-79.6306;-90;Bottom;TXT1
226;;;31.0581;-42.582;0;Bottom;TXT1
227;;;91.9515;-79.0349;0;Bottom;blkr63
228;;;97.2442;-66.7544;0;Bottom;TXT1
229;;;97.1438;-81.2554;0;Bottom;TXT1
230;;;35.2298;-95.9995;0;Bottom;Copper Fill254
231;;THT;8.17682;-39.675;0;Bottom;UART240
232;;;113.942;-91.8077;0;Bottom;TXT1
233;;;64.8716;-73.6983;0;Bottom;Copper Fill100
234;;;45.6614;-32.2552;0;Bottom;TXT1
235;;;43.2562;-63.0811;0;Bottom;Copper Fill65
236;;THT;1.82682;-39.675;0;Bottom;UART271
237;10k;THT;57.0718;-68.5676;9.54164e-15;Bottom;10k?
238;;;9.60409;-30.5238;-90;Bottom;TXT2
239;;;56.515;-34.3283;0;Bottom;Copper Fill161
240;;;38.4828;-28.1656;0;Bottom;TXT2
241;;;20.2929;-35.5469;-90;Bottom;TXT1
242;;;6.36603;-24.5855;90;Bottom;TXT4
243;;;77.6304;-76.849;0;Bottom;TXT2
244;;;112.602;-93.8798;0;Bottom;TXT1
245;;;20.2057;-31.4708;0;Bottom;Copper Fill185
246;10?F;100 mil [THT, tantalum];9.76432;-13.9575;0;Bottom;10uF
247;;THT;26.2743;-3.1625;90;Bottom;J153
248;;;114.135;-29.0324;0;Bottom;Copper Fill15
249;;;32.262;-72.3141;-90;Bottom;TXT2
250;;;101.99;-24.9696;0;Bottom;TXT1
251;10?F;100 mil [THT, tantalum];3.09682;-27.61;0;Bottom;10uF
252;;;5.38989;-58.1841;0;Top;blkr85
253;;;80.9564;-58.224;0;Bottom;IMG20
254;;;21.9281;-59.9153;-90;Bottom;TXT2
255;;;10.6426;-95.9995;0;Bottom;Copper Fill252
256;;;69.0513;-55.2678;0;Top;blkr45
257;;;95.8068;-75.87;0;Bottom;Via320
258;;;119.443;-23.162;-90;Bottom;TXT2
259;;;24.5737;-72.4273;-90;Bottom;TXT2
260;;;17.9874;-35.5819;-90;Bottom;TXT1
261;;;99.9345;-45.3899;0;Bottom;Via331
262;;;109.469;-35.8752;0;Top;blkr28
263;;;83.8902;-76.4999;0;Bottom;TXT1
264;;;9.63912;-16.3127;-90;Bottom;TXT2
265;;;17.3609;-11.8874;0;Bottom;Copper Fill281
266;;THT;70.0893;-2.5275;-90;Bottom;J170
267;;;3.47166;-95.928;0;Bottom;TXT1
268;;;11.3157;-70.7646;0;Bottom;Copper Fill41
269;;;41.0506;-76.7167;0;Top;blkr7
270;;;65.1838;-98.0668;0;Bottom;TXT1
271;;;89.7636;-79.0704;0;Bottom;Copper Fill208
272;;THT;97.3943;-32.69;180;Bottom;UART280
273;;THT;36.0815;-82.1847;90;Bottom;UART246
274;;;80.6643;-24.6357;0;Bottom;TXT2
275;;;66.6761;-24.7366;-90;Bottom;TXT1
276;;;3.49799;-72.06;0;Bottom;TXT1
277;;;82.4885;-23.4816;0;Bottom;TXT2
278;;;115.08;-23.7294;0;Bottom;TXT1
279;;;118.364;-62.2683;0;Bottom;Copper Fill125
280;;THT;30.8452;-65.6495;-90;Bottom;UART226
281;;;97.4628;-7.75346;-90;Bottom;TXT1
282;;;19.9635;-13.1696;-90;Bottom;TXT2
283;;;111.481;-62.1032;0;Bottom;Copper Fill212
284;;;66.4181;-8.7433;-90;Bottom;TXT2
285;;;66.5353;-52.8576;0;Bottom;Copper Fill245
286;;;118.364;-4.1531;0;Bottom;Copper Fill279
287;;;76.4393;-73.965;0;Bottom;Via273
288;560;THT;105.388;-67.1013;-126.725;Bottom;560?
289;;;94.234;-84.1631;0;Bottom;Copper Fill189
290;;;15.7756;-59.4898;-90;Bottom;TXT2
291;;;18.6096;-80.1692;0;Bottom;TXT4
292;;;66.7766;-35.9031;0;Bottom;Copper Fill14
293;;;115.207;-1.16995;0;Bottom;TXT2
294;;;11.3518;-29.8325;0;Bottom;Via317
295;;;47.6879;-77.0694;0;Bottom;TXT1
296;;;73.1191;-63.6489;0;Bottom;TXT1
297;;;118.364;-9.2331;0;Bottom;Copper Fill141
298;;THT;11.7351;-95.9783;0;Bottom;UART236
299;;;35.3057;-45.87;-90;Bottom;TXT2
300;;;97.3664;-61.6744;0;Bottom;TXT1
301;;;87.8693;-12.6875;0;Bottom;Via344
302;75k;THT;103.427;-43.485;90;Bottom;75k?
303;;;109.164;-16.9236;180;Bottom;TXT1
304;;;44.6744;-22.5148;0;Bottom;TXT2
305;;;112.317;-96.19;0;Bottom;Via279
306;;;40.5977;-33.5372;0;Bottom;TXT2
307;;;27.8985;-34.9899;-90;Bottom;TXT1
308;;;54.1128;-1.4424;0;Bottom;TXT1
309;;;61.4553;-20.6758;0;Bottom;Copper Fill77
310;;;61.5679;-24.7519;-90;Bottom;TXT1
311;;;10.606;-91.9401;0;Bottom;IMG1
312;;THT;117.397;-10.465;180;Bottom;UART285
313;;;110.376;-89.6368;0;Bottom;Copper Fill81
314;;;71.6153;-52.8576;0;Bottom;Copper Fill36
315;;;64.1827;-22.7318;-90;Bottom;TXT1
316;;;17.6657;-31.4708;0;Bottom;Copper Fill176
317;;;73.8993;-71.425;0;Bottom;Via275
318;;;69.2441;-24.1949;-90;Bottom;TXT1
319;;;81.6907;-75.4188;0;Bottom;TXT1
320;;;56.7309;-50.7748;0;Bottom;Copper Fill265
321;;;101.522;-55.55;0;Bottom;Via290
322;;;17.5223;-13.226;-90;Bottom;TXT2
323;;;27.87;-84.9675;0;Bottom;TXT2
324;;;31.8516;-21.9331;0;Bottom;Copper Fill19
325;;;14.0447;-58.2311;0;Top;blkr86
326;;;24.2665;-16.1331;0;Bottom;TXT1
