*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_IO_v1_0
*Date=09:59:53
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;THT;44.6617;-60.0656;180;Bottom;J136
111;;THT;67.8744;-85.6067;180;Bottom;J120
112;;;9.36375;-89.4853;0;Bottom;TXT1
113;;;57.3617;-82.2906;0;Bottom;Via16
114;;;109.398;-87.0112;90;Bottom;TXT1
115;;;103.126;-16.0497;0;Bottom;TXT1
116;;;21.9663;-81.3263;0;Bottom;Hole130
117;;;72.296;-5.50269;0;Top;blkr26
118;1µF;100 mil [THT, electrolytic];61.2281;-85.1833;180;Bottom;C1
119;;;27.1686;-41.6986;0;Bottom;TXT1
120;;THT;102.517;-57.1728;180;Bottom;J108
121;;;31.9617;-43.5556;0;Bottom;Via257
122;;;5.08126;-17.4261;0;Bottom;TXT1
123;;;94.7443;-50.7835;0;Bottom;TXT2
124;;;90.6451;-25.0366;-90;Bottom;IMG13
125;;;115.782;-14.3455;0;Bottom;Via235
126;;;78.384;-19.3416;0;Bottom;TXT1
127;;;11.4589;-95.1266;0;Bottom;TXT1
128;;;65.6167;-21.3305;0;Bottom;Via191
129;;;13.0669;-33.9318;0;Top;blkr50
130;;;42.7957;-38.5845;0;Bottom;TXT1
131;;;94.3878;-40.5671;0;Bottom;TXT2
132;;;28.1305;-63.8304;0;Bottom;Copper Fill163
133;;;9.6901;-99.0602;0;Bottom;Copper Fill146
134;;;6.18057;-12.2572;-90;Bottom;TXT2
135;;;109.435;-70.3612;-90;Bottom;TXT1
136;;;57.9164;-34.7318;-90;Bottom;TXT1
137;;;96.9296;-65.9473;-90;Bottom;IMG13
138;;;2.0701;-21.1838;0;Bottom;Copper Fill47
139;;;51.9289;-92.1683;0;Top;Pad13
140;;;74.8765;-1.60118;0;Bottom;TXT2
141;;THT;30.0567;-57.5256;-90;Bottom;GPIO
142;;THT;23.6361;-4.18556;90;Bottom;UART156
143;;;67.563;-27.8733;-90;Bottom;TXT1
144;;;69.0372;-73.1395;0;Bottom;Copper Fill117
145;;;50.3767;-21.3305;0;Bottom;Via183
146;;;18.067;-63.7122;0;Bottom;TXT1
147;1µF;100 mil [THT, electrolytic];70.4573;-77.1699;90;Bottom;C2
148;;THT;98.4956;-32.8311;-90;Bottom;S9
149;;THT;62.4417;-54.9856;0;Bottom;UART142
